| X      	| Y      	| Y'     
| -36,50	| 1,932	| 0,363
| -36,00	| 1,992	| -0,128
| -35,50	| 1,809	| -0,588
| -35,00	| 1,428	| -0,904
| -34,50	| 0,943	| -0,998
| -34,00	| 0,471	| -0,849
| -33,50	| 0,129	| -0,491
| -33,00	| 0,000	| -0,013
| -32,50	| 0,116	| 0,468
| -32,00	| 0,449	| 0,834
| -31,50	| 0,916	| 0,996
| -31,00	| 1,404	| 0,915
| -30,50	| 1,793	| 0,609
| -30,00	| 1,988	| 0,154
| -29,50	| 1,941	| -0,338
| -29,00	| 1,664	| -0,748
| -28,50	| 1,224	| -0,975
| -28,00	| 0,729	| -0,963
| -27,50	| 0,301	| -0,715
| -27,00	| 0,044	| -0,292
| -26,50	| 0,021	| 0,202
| -26,00	| 0,237	| 0,647
| -25,50	| 0,641	| 0,933
| -25,00	| 1,132	| 0,991
| -24,50	| 1,591	| 0,806
| -24,00	| 1,906	| 0,424
| -23,50	| 1,998	| -0,062
| -23,00	| 1,846	| -0,533
| -22,50	| 1,487	| -0,873
| -22,00	| 1,009	| -1,000
| -21,50	| 0,528	| -0,882
| -21,00	| 0,163	| -0,548
| -20,50	| 0,003	| -0,080
| -20,00	| 0,087	| 0,408
| -19,50	| 0,394	| 0,796
| -19,00	| 0,850	| 0,989
| -18,50	| 1,342	| 0,940
| -18,00	| 1,751	| 0,660
| -17,50	| 1,976	| 0,219
| -17,00	| 1,961	| -0,275
| -16,50	| 1,712	| -0,702
| -16,00	| 1,288	| -0,958
| -15,50	| 0,794	| -0,978
| -15,00	| 0,350	| -0,760
| -14,50	| 0,065	| -0,355
| -14,00	| 0,009	| 0,137
| -13,50	| 0,196	| 0,595
| -13,00	| 0,580	| 0,907
| -12,50	| 1,066	| 0,998
| -12,00	| 1,537	| 0,844
| -11,50	| 1,875	| 0,483
| -11,00	| 2,000	| 0,004
| -10,50	| 1,880	| -0,476
| -10,00	| 1,544	| -0,839
| -9,50	| 1,075	| -0,997
| -9,00	| 0,588	| -0,911
| -8,50	| 0,202	| -0,602
| -8,00	| 0,011	| -0,146
| -7,50	| 0,062	| 0,347
| -7,00	| 0,343	| 0,754
| -6,50	| 0,785	| 0,977
| -6,00	| 1,279	| 0,960
| -5,50	| 1,706	| 0,709
| -5,00	| 1,959	| 0,284
| -4,50	| 1,978	| -0,211
| -4,00	| 1,757	| -0,654
| -3,50	| 1,351	| -0,936
| -3,00	| 0,859	| -0,990
| -2,50	| 0,402	| -0,801
| -2,00	| 0,091	| -0,416
| -1,50	| 0,003	| 0,071
| -1,00	| 0,159	| 0,540
| -0,50	| 0,521	| 0,878
| 0,00	| 1,000	| 1,000
| 0,50	| 1,479	| 0,878
| 1,00	| 1,841	| 0,540
| 1,50	| 1,997	| 0,071
| 2,00	| 1,909	| -0,416
| 2,50	| 1,598	| -0,801
| 3,00	| 1,141	| -0,990
| 3,50	| 0,649	| -0,936
| 4,00	| 0,243	| -0,654
| 4,50	| 0,022	| -0,211
| 5,00	| 0,041	| 0,284
| 5,50	| 0,294	| 0,709
| 6,00	| 0,721	| 0,960
| 6,50	| 1,215	| 0,977
| 7,00	| 1,657	| 0,754
| 7,50	| 1,938	| 0,347
| 8,00	| 1,989	| -0,146
| 8,50	| 1,798	| -0,602
| 9,00	| 1,412	| -0,911
| 9,50	| 0,925	| -0,997
| 10,00	| 0,456	| -0,839
| 10,50	| 0,120	| -0,476
| 11,00	| 0,000	| 0,004
| 11,50	| 0,125	| 0,483
| 12,00	| 0,463	| 0,844
| 12,50	| 0,934	| 0,998
| 13,00	| 1,420	| 0,907
| 13,50	| 1,804	| 0,595
| 14,00	| 1,991	| 0,137
| 14,50	| 1,935	| -0,355
| 15,00	| 1,650	| -0,760
| 15,50	| 1,206	| -0,978
| 16,00	| 0,712	| -0,958
| 16,50	| 0,288	| -0,702
| 17,00	| 0,039	| -0,275
| 17,50	| 0,024	| 0,219
| 18,00	| 0,249	| 0,660
| 18,50	| 0,658	| 0,940
| 19,00	| 1,150	| 0,989
| 19,50	| 1,606	| 0,796
| 20,00	| 1,913	| 0,408
| 20,50	| 1,997	| -0,080
| 21,00	| 1,837	| -0,548
| 21,50	| 1,472	| -0,882
| 22,00	| 0,991	| -1,000
| 22,50	| 0,513	| -0,873
| 23,00	| 0,154	| -0,533
| 23,50	| 0,002	| -0,062
| 24,00	| 0,094	| 0,424
| 24,50	| 0,409	| 0,806
| 25,00	| 0,868	| 0,991
| 25,50	| 1,359	| 0,933
| 26,00	| 1,763	| 0,647
| 26,50	| 1,979	| 0,202
| 27,00	| 1,956	| -0,292
| 27,50	| 1,699	| -0,715
| 28,00	| 1,271	| -0,963
| 28,50	| 0,776	| -0,975
| 29,00	| 0,336	| -0,748
| 29,50	| 0,059	| -0,338
| 30,00	| 0,012	| 0,154
| 30,50	| 0,207	| 0,609
| 31,00	| 0,596	| 0,915
| 31,50	| 1,084	| 0,996
| 32,00	| 1,551	| 0,834
| 32,50	| 1,884	| 0,468
| 33,00	| 2,000	| -0,013
| 33,50	| 1,871	| -0,491
| 34,00	| 1,529	| -0,849
| 34,50	| 1,057	| -0,998
| 35,00	| 0,572	| -0,904
| 35,50	| 0,191	| -0,588
| 36,00	| 0,008	| -0,128
| 36,50	| 0,068	| 0,363
| 37,00	| 0,356	| 0,765
| 37,50	| 0,802	| 0,980
| 38,00	| 1,296	| 0,955
| 38,50	| 1,718	| 0,696
| 39,00	| 1,964	| 0,267
| 39,50	| 1,974	| -0,228
| 40,00	| 1,745	| -0,667
| 40,50	| 1,334	| -0,943
| 41,00	| 0,841	| -0,987
| 41,50	| 0,387	| -0,790
| 42,00	| 0,083	| -0,400
| 42,50	| 0,004	| 0,088
| 43,00	| 0,168	| 0,555
| 43,50	| 0,536	| 0,886
| 44,00	| 1,018	| 1,000
| 44,50	| 1,495	| 0,869
| 45,00	| 1,851	| 0,525
| 45,50	| 1,999	| 0,053
| 46,00	| 1,902	| -0,432
| 46,50	| 1,584	| -0,812
| 47,00	| 1,124	| -0,992
| 47,50	| 0,633	| -0,930
| 48,00	| 0,232	| -0,640
| 48,50	| 0,019	| -0,193
| 49,00	| 0,046	| 0,301
| 49,50	| 0,307	| 0,721
| 50,00	| 0,738	| 0,965
| 50,50	| 1,232	| 0,973
| 51,00	| 1,670	| 0,742
| 51,50	| 1,944	| 0,330
| 52,00	| 1,987	| -0,163
| 52,50	| 1,788	| -0,616
| 53,00	| 1,396	| -0,918
| 53,50	| 0,907	| -0,996
| 54,00	| 0,441	| -0,829
| 54,50	| 0,112	| -0,460
| 55,00	| 0,000	| 0,022
| 55,50	| 0,133	| 0,499
| 56,00	| 0,478	| 0,853
| 56,50	| 0,951	| 0,999
| 57,00	| 1,436	| 0,900
| 57,50	| 1,814	| 0,581
| 58,00	| 1,993	| 0,119
| 58,50	| 1,928	| -0,371
| 59,00	| 1,637	| -0,771
| 59,50	| 1,189	| -0,982
| 60,00	| 0,695	| -0,952
| 60,50	| 0,276	| -0,690
| 61,00	| 0,034	| -0,258
| 61,50	| 0,028	| 0,237
| 62,00	| 0,261	| 0,674
| 62,50	| 0,674	| 0,945
| 63,00	| 1,167	| 0,986
| 63,50	| 1,620	| 0,785
| 64,00	| 1,920	| 0,392
| 64,50	| 1,995	| -0,097
| 65,00	| 1,827	| -0,562
| 65,50	| 1,456	| -0,890
| 66,00	| 0,973	| -1,000
| 66,50	| 0,497	| -0,865
| 67,00	| 0,144	| -0,518
| 67,50	| 0,001	| -0,044
| 68,00	| 0,102	| 0,440
| 68,50	| 0,423	| 0,817
| 69,00	| 0,885	| 0,993
| 69,50	| 1,376	| 0,927
| 70,00	| 1,774	| 0,633
| 70,50	| 1,983	| 0,185
| 71,00	| 1,951	| -0,309
| 71,50	| 1,686	| -0,727
| 72,00	| 1,254	| -0,967
| 72,50	| 0,759	| -0,971
| 73,00	| 0,323	| -0,736
| 73,50	| 0,053	| -0,322
| 74,00	| 0,015	| 0,172
| 74,50	| 0,218	| 0,623
| 75,00	| 0,612	| 0,922
| 75,50	| 1,102	| 0,995
| 76,00	| 1,566	| 0,824
| 76,50	| 1,892	| 0,452
| 77,00	| 2,000	| -0,031
| 77,50	| 1,862	| -0,506
| 78,00	| 1,514	| -0,858
| 78,50	| 1,040	| -0,999
| 79,00	| 0,556	| -0,896
| 79,50	| 0,181	| -0,573
| 80,00	| 0,006	| -0,110
| 80,50	| 0,075	| 0,380
| 81,00	| 0,370	| 0,777
| 81,50	| 0,820	| 0,984
| 82,00	| 1,313	| 0,950
| 82,50	| 1,730	| 0,683
| 83,00	| 1,968	| 0,250
| 83,50	| 1,969	| -0,245
| 84,00	| 1,733	| -0,680
| 84,50	| 1,317	| -0,948
| 85,00	| 0,824	| -0,984
| 85,50	| 0,374	| -0,779
| 86,00	| 0,077	| -0,384
| 86,50	| 0,006	| 0,106
| 87,00	| 0,178	| 0,570
| 87,50	| 0,552	| 0,894
| 88,00	| 1,035	| 0,999
| 88,50	| 1,510	| 0,860
| 89,00	| 1,860	| 0,510
| 89,50	| 1,999	| 0,035
| 90,00	| 1,894	| -0,448
| 90,50	| 1,570	| -0,822
| 91,00	| 1,106	| -0,994
| 91,50	| 0,616	| -0,923
| 92,00	| 0,221	| -0,626
| 92,50	| 0,016	| -0,176
| 93,00	| 0,052	| 0,317
| 93,50	| 0,320	| 0,733
| 94,00	| 0,755	| 0,969
| 94,50	| 1,250	| 0,968
| 95,00	| 1,683	| 0,730
| 95,50	| 1,950	| 0,313
| 96,00	| 1,984	| -0,180
| 96,50	| 1,777	| -0,630
| 97,00	| 1,380	| -0,925
| 97,50	| 0,890	| -0,994
| 98,00	| 0,427	| -0,819
| 98,50	| 0,104	| -0,444
| 99,00	| 0,001	| 0,040
| 99,50	| 0,142	| 0,514
| 100,00	| 0,494	| 0,862
| Кількість елементів,  0,5 < y < 1: 65
